average_speed,speed variance,average speed smooth,speed variance smooth,velocity variance,velocity variance smooth,stillness percentage,approaching_trend,suspicious time percent,anomaly percent,class
0.49,1.06,0.52,0.01,1.06,0.02,0.818,0.3,0.0,0.01,non_intruder
0.23,0.36,0.68,0.04,0.36,0.11,0.929,0.1,0.0,0.0,non_intruder
0.24,0.57,0.78,0.07,0.57,0.08,0.902,0.1,0.0,0.0,non_intruder
0.39,0.97,0.68,0.1,0.97,0.18,0.902,0.2,0.0,0.01,non_intruder
0.22,0.73,0.57,0.05,0.73,0.13,0.906,0.0,0.0,0.0,non_intruder
0.08,0.22,0.33,0.0,0.21,0.03,0.961,0.0,0.0,0.0,non_intruder
0.14,0.21,0.56,0.07,0.21,0.09,0.938,0.1,0.0,0.01,non_intruder
0.16,0.36,0.9,0.01,0.36,0.04,0.933,0.1,0.0,0.0,non_intruder
0.4,1.16,0.51,0.03,1.16,0.14,0.852,0.1,0.0,0.02,non_intruder
0.25,0.57,0.47,0.04,0.58,0.04,0.866,0.2,0.0,0.0,non_intruder
0.57,1.43,0.66,0.05,1.44,0.27,0.791,0.2,0.0,0.02,non_intruder
0.21,0.45,0.93,0.01,0.45,0.05,0.922,0.2,0.0,0.0,non_intruder
0.21,0.49,0.41,0.01,0.49,0.12,0.901,0.0,0.0,0.01,non_intruder
0.22,0.55,0.33,0.02,0.55,0.06,0.921,0.0,0.0,0.0,non_intruder
0.19,0.55,0.53,0.02,0.55,0.03,0.919,0.1,0.0,0.01,non_intruder
0.11,0.24,0.88,0.0,0.24,0.01,0.963,0.1,0.0,0.0,non_intruder
0.19,0.47,0.36,0.01,0.47,0.12,0.927,0.0,0.0,0.0,non_intruder
0.23,0.46,0.57,0.02,0.46,0.05,0.895,0.0,0.0,0.0,non_intruder
0.48,1.12,0.53,0.04,1.12,0.28,0.852,0.2,0.0,0.01,non_intruder
0.37,1.06,0.54,0.04,1.06,0.14,0.871,0.1,0.0,0.0,non_intruder
